  JULDAY,    TIME,   TALOC,   TAREF,   RHLOC,      RH,    VLOC,    VREF,SNOWMELT, POOLDEP,  PCTWET,     ZEN,    SOLR,   TSKYC,     DEW,   FROST,SNOWFALL, SNOWDEP,SNOWDENS
 15.,   0.00,  4.26,  4.79, 83.07, 80.05,  0.299,  1.361,  0.00,  0.00, 92.10 , 90.00,   0.00,  -4.63,0.,0.,   0.00,   0.00,  0.218
 15.,  60.00,  4.04,  4.68, 86.47, 82.66,  0.260,  1.185,  0.00,  0.00, 92.07 , 90.00,   0.00,  -4.66,0.,0.,   0.00,   0.00,  0.218
 15., 120.00,  3.91,  4.60, 89.46, 85.27,  0.222,  1.009,  0.00,  0.00, 92.03 , 90.00,   0.00,  -4.68,0.,0.,   0.00,   0.00,  0.218
 15., 180.00,  3.82,  4.52, 92.34, 87.88,  0.183,  0.834,  0.00,  0.00, 91.97 , 90.00,   0.00,  -4.68,0.,0.,   0.00,   0.00,  0.218
 15., 240.00,  3.74,  4.46, 95.24, 90.49,  0.144,  0.658,  0.00,  0.00, 91.84 , 90.00,   0.00,  -4.67,0.,0.,   0.00,   0.00,  0.218
 15., 300.00,  3.65,  4.42, 98.25, 93.10,  0.106,  0.483,  0.00,  0.00, 91.26 , 90.00,   0.00,  -4.65,0.,0.,   0.00,   0.00,  0.218
 15., 360.00,  3.51,  4.38,100.00, 95.71,  0.057,  0.261,  0.00,  0.00, 90.49 , 90.00,   0.00,  -4.62,0.,0.,   0.00,   0.00,  0.218
 15., 420.00,  3.37,  4.34,100.00, 99.00,  0.035,  0.161,  0.00,  0.00, 90.38 , 90.00,   0.24,  -4.56,0.,0.,   0.00,   0.00,  0.218
 15., 480.00,  4.19,  4.50,100.00, 99.00,  0.119,  0.544,  0.00,  0.00, 90.29 , 84.84,  34.34,  -4.38,0.,0.,   0.00,   0.00,  0.218
 15., 540.00,  5.84,  5.75, 90.95, 91.52,  0.204,  0.927,  0.00,  0.00, 91.91 , 76.69, 108.02,  -3.20,0.,0.,   0.00,   0.00,  0.218
 15., 600.00,  8.64,  7.63, 75.98, 81.38,  0.288,  1.310,  0.00,  0.00, 92.04 , 70.26, 174.43,  -1.41,0.,0.,   0.00,   0.00,  0.218
 15., 660.00, 10.21,  9.59, 58.63, 61.10,  0.372,  1.694,  0.00,  0.00, 92.07 , 66.08, 216.54,   0.02,0.,0.,   0.00,   0.00,  0.218
 15., 720.00, 11.33, 11.06, 60.01, 61.10,  0.540,  2.460,  0.00,  0.00, 92.05 , 64.62, 231.56,   1.66,0.,0.,   0.00,   0.00,  0.218
 15., 780.00, 11.82, 11.60, 61.76, 62.68,  0.540,  2.460,  0.00,  0.00, 92.02 , 66.08, 216.39,   2.33,0.,0.,   0.00,   0.00,  0.218
 15., 840.00, 11.24, 11.06, 63.48, 64.26,  0.518,  2.360,  0.00,  0.00, 92.00 , 70.26, 175.81,   1.80,0.,0.,   0.00,   0.00,  0.218
 15., 900.00,  9.59,  9.59, 65.85, 65.84,  0.496,  2.260,  0.00,  0.00, 91.97 , 76.69, 109.31,   0.22,0.,0.,   0.00,   0.00,  0.218
 15., 960.00,  7.28,  7.63, 69.07, 67.42,  0.474,  2.160,  0.00,  0.00, 91.94 , 84.84,  34.89,  -1.91,0.,0.,   0.00,   0.00,  0.218
 15.,1020.00,  5.86,  6.62, 72.69, 69.00,  0.452,  2.060,  0.00,  0.00, 91.92 , 90.00,   0.24,  -2.98,0.,0.,   0.00,   0.00,  0.218
 15.,1080.00,  5.27,  6.18, 75.13, 70.58,  0.430,  1.960,  0.00,  0.00, 91.89 , 90.00,   0.00,  -3.41,0.,0.,   0.00,   0.00,  0.218
 15.,1140.00,  4.90,  5.82, 76.92, 72.15,  0.408,  1.860,  0.00,  0.00, 91.88 , 90.00,   0.00,  -3.76,0.,0.,   0.00,   0.00,  0.218
 15.,1200.00,  4.61,  5.52, 78.58, 73.73,  0.386,  1.760,  0.00,  0.00, 91.86 , 90.00,   0.00,  -4.03,0.,0.,   0.00,   0.00,  0.218
 15.,1260.00,  4.40,  5.28, 80.10, 75.31,  0.364,  1.660,  0.00,  0.00, 91.84 , 90.00,   0.00,  -4.24,0.,0.,   0.00,   0.00,  0.218
 15.,1320.00,  4.17,  5.08, 81.98, 76.89,  0.343,  1.560,  0.00,  0.00, 91.82 , 90.00,   0.00,  -4.41,0.,0.,   0.00,   0.00,  0.218
 15.,1380.00,  4.09,  4.92, 83.17, 78.47,  0.321,  1.461,  0.00,  0.00, 91.80 , 90.00,   0.00,  -4.53,0.,0.,   0.00,   0.00,  0.218
 46.,   0.00,  5.10,  5.47, 80.13, 78.05,  0.334,  1.521,  0.00,  0.00, 92.11 , 90.00,   0.00,  -4.39,0.,0.,   0.00,   0.00,  0.218
 46.,  60.00,  4.81,  5.38, 84.17, 80.88,  0.285,  1.297,  0.00,  0.00, 92.09 , 90.00,   0.00,  -4.39,0.,0.,   0.00,   0.00,  0.218
 46., 120.00,  4.68,  5.30, 87.41, 83.70,  0.236,  1.074,  0.00,  0.00, 92.07 , 90.00,   0.00,  -4.38,0.,0.,   0.00,   0.00,  0.218
 46., 180.00,  4.60,  5.24, 90.51, 86.53,  0.187,  0.850,  0.00,  0.00, 92.04 , 90.00,   0.00,  -4.35,0.,0.,   0.00,   0.00,  0.218
 46., 240.00,  4.52,  5.19, 93.63, 89.36,  0.138,  0.627,  0.00,  0.00, 91.99 , 90.00,   0.00,  -4.31,0.,0.,   0.00,   0.00,  0.218
 46., 300.00,  4.39,  5.15, 97.23, 92.18,  0.064,  0.292,  0.00,  0.00, 91.79 , 90.00,   0.00,  -4.27,0.,0.,   0.00,   0.00,  0.218
 46., 360.00,  4.23,  5.12,100.00, 96.42,  0.023,  0.103,  0.00,  0.00, 91.15 , 90.00,   0.00,  -4.17,0.,0.,   0.00,   0.00,  0.218
 46., 420.00,  4.54,  5.11,100.00, 96.42,  0.106,  0.481,  0.00,  0.00, 91.11 , 87.97,  10.67,  -4.17,0.,0.,   0.00,   0.00,  0.218
 46., 480.00,  6.15,  5.93, 90.94, 92.33,  0.189,  0.859,  0.00,  0.00, 92.01 , 78.40,  92.38,  -3.38,0.,0.,   0.00,   0.00,  0.218
 46., 540.00,  8.43,  7.39, 78.39, 84.17,  0.272,  1.237,  0.00,  0.00, 92.07 , 69.65, 185.65,  -2.00,0.,0.,   0.00,   0.00,  0.218
 46., 600.00, 10.66,  9.15, 68.65, 76.01,  0.355,  1.615,  0.00,  0.00, 92.09 , 62.59, 257.83,  -0.30,0.,0.,   0.00,   0.00,  0.218
 46., 660.00, 11.93, 10.80, 55.40, 59.68,  0.438,  1.993,  0.00,  0.00, 92.09 , 57.92, 312.47,   0.87,0.,0.,   0.00,   0.00,  0.218
 46., 720.00, 12.78, 11.98, 56.61, 59.68,  0.604,  2.750,  0.00,  0.00, 92.09 , 56.27, 321.83,   2.20,0.,0.,   0.00,   0.00,  0.218
 46., 780.00, 13.16, 12.40, 58.22, 61.21,  0.604,  2.750,  0.00,  0.00, 92.08 , 57.92, 312.26,   2.75,0.,0.,   0.00,   0.00,  0.218
 46., 840.00, 12.64, 11.98, 60.07, 62.74,  0.579,  2.638,  0.00,  0.00, 92.07 , 62.59, 259.32,   2.34,0.,0.,   0.00,   0.00,  0.218
 46., 900.00, 11.26, 10.80, 62.35, 64.27,  0.555,  2.526,  0.00,  0.00, 92.06 , 69.65, 187.27,   1.08,0.,0.,   0.00,   0.00,  0.218
 46., 960.00,  9.20,  9.15, 65.57, 65.80,  0.530,  2.414,  0.00,  0.00, 92.05 , 78.40,  93.46,  -0.73,0.,0.,   0.00,   0.00,  0.218
 46.,1020.00,  6.93,  7.39, 69.48, 67.33,  0.505,  2.303,  0.00,  0.00, 92.04 , 87.97,  10.82,  -2.65,0.,0.,   0.00,   0.00,  0.218
 46.,1080.00,  6.02,  6.82, 72.73, 68.87,  0.481,  2.191,  0.00,  0.00, 92.03 , 90.00,   0.00,  -3.23,0.,0.,   0.00,   0.00,  0.218
 46.,1140.00,  5.58,  6.45, 74.77, 70.40,  0.456,  2.079,  0.00,  0.00, 92.03 , 90.00,   0.00,  -3.58,0.,0.,   0.00,   0.00,  0.218
 46.,1200.00,  5.28,  6.16, 76.47, 71.93,  0.432,  1.968,  0.00,  0.00, 92.02 , 90.00,   0.00,  -3.85,0.,0.,   0.00,   0.00,  0.218
