 JULDAY,   TIME,    DE1,    DE2,    DE3,    DE4,    DE5,    DE6,    DE7,    DE8,    DE9,   DE10
 15.,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1492.87,   1509.15
 15.,     60.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1638.54,   1607.94
 15.,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1611.53,   1597.89
 15.,    180.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1599.79,   1590.87
 15.,    240.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1592.42,   1585.33
 15.,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1587.05,   1581.09
 15.,    360.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1582.92,   1577.78
 15.,    420.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1579.63,   1575.09
 15.,    480.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1576.89,   1572.84
 15.,    540.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1574.44,   1570.91
 15.,    600.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1572.08,   1569.20
 15.,    660.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1569.65,   1567.63
 15.,    720.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1565.24,   1565.98
 15.,    780.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1561.75,   1564.22
 15.,    840.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1558.06,   1562.44
 15.,    900.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1555.37,   1560.73
 15.,    960.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1553.04,   1559.13
 15.,   1020.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1551.02,   1557.66
 15.,   1080.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1549.86,   1556.34
 15.,   1140.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1548.82,   1555.19
 15.,   1200.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1548.16,   1554.19
 15.,   1260.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1547.48,   1553.31
 15.,   1320.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1547.07,   1552.55
 15.,   1380.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1546.65,   1551.88
 46.,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1546.23,   1550.81
 46.,     60.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1650.35,   1634.78
 46.,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1627.54,   1621.97
 46.,    180.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1617.23,   1614.06
 46.,    240.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1610.75,   1608.69
 46.,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1606.14,   1604.71
 46.,    360.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1602.70,   1601.61
 46.,    420.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1599.95,   1599.10
 46.,    480.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1597.46,   1596.97
 46.,    540.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1595.14,   1595.09
 46.,    600.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1592.85,   1593.35
 46.,    660.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1590.65,   1591.71
 46.,    720.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1586.25,   1589.84
 46.,    780.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1583.39,   1587.86
 46.,    840.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1580.54,   1585.96
 46.,    900.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1578.13,   1584.16
 46.,    960.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1576.09,   1582.50
 46.,   1020.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1574.44,   1580.99
 46.,   1080.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1573.18,   1579.64
 46.,   1140.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1572.58,   1578.48
 46.,   1200.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1571.78,   1577.49
 46.,   1260.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1571.44,   1576.63
 46.,   1320.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1570.83,   1575.88
 46.,   1380.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1570.65,   1575.22
 74.,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1570.14,   1574.14
 74.,     60.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1647.38,   1636.86
 74.,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1629.24,   1626.29
 74.,    180.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1620.88,   1619.81
 74.,    240.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1615.64,   1615.39
 74.,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1611.94,   1612.10
 74.,    360.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1609.16,   1609.52
 74.,    420.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1606.87,   1607.41
 74.,    480.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1604.77,   1605.59
 74.,    540.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1602.68,   1603.93
 74.,    600.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1600.57,   1602.35
 74.,    660.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1598.41,   1600.79
 74.,    720.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1594.07,   1598.90
 74.,    780.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1591.29,   1596.89
 74.,    840.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1588.55,   1594.98
 74.,    900.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1586.28,   1593.18
 74.,    960.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1584.39,   1591.53
 74.,   1020.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1582.88,   1590.04
 74.,   1080.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1581.76,   1588.72
 74.,   1140.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1581.20,   1587.61
 74.,   1200.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1580.70,   1586.68
 74.,   1260.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1580.37,   1585.88
 74.,   1320.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1579.99,   1585.20
 74.,   1380.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1579.78,   1584.60
