  JULDAY,    TIME,   TALOC,   TAREF,   RHLOC,      RH,    VLOC,    VREF,SNOWMELT, POOLDEP,  PCTWET,     ZEN,    SOLR,   TSKYC,     DEW,   FROST,SNOWFALL,SNOWDEP"S
 15.,   0.00,  5.02,  4.79, 78.80, 80.05,  0.299,  1.361,  0.00,  0.00, 92.11, 90.00,   0.00,   0.68,0.,0.,   0.00,   0.00,  0.218
 15.,  60.00,  4.59,  4.68, 83.18, 82.66,  0.260,  1.185,  0.00,  0.00, 92.09, 90.00,   0.00,   0.58,0.,0.,   0.00,   0.00,  0.218
 15., 120.00,  4.47,  4.60, 86.01, 85.27,  0.222,  1.009,  0.00,  0.00, 92.07, 90.00,   0.00,   0.50,0.,0.,   0.00,   0.00,  0.218
 15., 180.00,  4.43,  4.52, 88.48, 87.88,  0.183,  0.834,  0.00,  0.00, 92.06, 90.00,   0.00,   0.44,0.,0.,   0.00,   0.00,  0.218
 15., 240.00,  4.42,  4.46, 90.75, 90.49,  0.144,  0.658,  0.00,  0.00, 92.03, 90.00,   0.00,   0.38,0.,0.,   0.00,   0.00,  0.218
 15., 300.00,  4.44,  4.42, 92.94, 93.10,  0.106,  0.483,  0.00,  0.00, 91.99, 90.00,   0.00,   0.34,0.,0.,   0.00,   0.00,  0.218
 15., 360.00,  4.49,  4.38, 94.98, 95.71,  0.057,  0.261,  0.00,  0.00, 91.93, 90.00,   0.00,   0.31,0.,0.,   0.00,   0.00,  0.218
 15., 420.00,  4.56,  4.34, 97.55, 99.00,  0.035,  0.161,  0.00,  0.00, 91.70, 90.00,   0.24,   0.29,0.,0.,   0.00,   0.00,  0.218
 15., 480.00,  4.69,  4.50, 97.71, 99.00,  0.119,  0.544,  0.00,  0.00, 91.65, 84.84,  34.34,   0.44,0.,0.,   0.00,   0.00,  0.218
 15., 540.00,  5.54,  5.75, 92.90, 91.52,  0.204,  0.927,  0.00,  0.00, 91.97, 76.69, 108.02,   1.68,0.,0.,   0.00,   0.00,  0.218
