 JULDAY,   TIME,   DEP1,   DEP2,   DEP3,   DEP4,   DEP5,   DEP6,   DEP7,   DEP8,   DEP9,  DEP10
 15.,   0.00,   5.28,   6.10,   6.52,   6.62,   6.61,   6.56,   6.44,   6.43,   6.83,  12.97
 15.,  60.00,   4.49,   5.80,   6.38,   6.55,   6.58,   6.55,   6.45,   6.43,   6.84,  12.97
 15., 120.00,   4.34,   5.55,   6.25,   6.47,   6.54,   6.54,   6.46,   6.43,   6.85,  12.97
 15., 180.00,   4.33,   5.39,   6.13,   6.38,   6.50,   6.53,   6.46,   6.44,   6.86,  12.97
 15., 240.00,   4.39,   5.29,   6.03,   6.30,   6.45,   6.50,   6.47,   6.44,   6.87,  12.97
 15., 300.00,   4.46,   5.24,   5.96,   6.22,   6.40,   6.48,   6.47,   6.44,   6.88,  12.97
 15., 360.00,   4.56,   5.24,   5.90,   6.16,   6.36,   6.45,   6.47,   6.45,   6.89,  12.97
 15., 420.00,   4.69,   5.25,   5.85,   6.11,   6.31,   6.42,   6.46,   6.45,   6.89,  12.97
 15., 480.00,   4.85,   5.27,   5.81,   6.09,   6.26,   6.39,   6.46,   6.45,   6.90,  12.97
 15., 540.00,   5.32,   5.31,   5.80,   6.05,   6.22,   6.36,   6.45,   6.46,   6.91,  12.97
 15., 600.00,   5.89,   5.54,   5.85,   6.00,   6.21,   6.33,   6.44,   6.46,   6.92,  12.97
 15., 660.00,   6.65,   5.81,   5.89,   6.03,   6.18,   6.31,   6.43,   6.46,   6.93,  12.97
 15., 720.00,   6.89,   6.18,   5.98,   6.04,   6.18,   6.29,   6.43,   6.47,   6.94,  12.97
 15., 780.00,   8.27,   6.47,   6.10,   6.09,   6.17,   6.28,   6.42,   6.47,   6.95,  12.97
 15., 840.00,   7.97,   6.81,   6.25,   6.15,   6.19,   6.27,   6.41,   6.47,   6.95,  12.97
 15., 900.00,   7.15,   6.88,   6.36,   6.23,   6.22,   6.27,   6.40,   6.47,   6.96,  12.97
 15., 960.00,   5.93,   6.63,   6.41,   6.29,   6.25,   6.28,   6.39,   6.48,   6.97,  12.97
 15.,1020.00,   4.79,   6.23,   6.36,   6.32,   6.28,   6.29,   6.39,   6.48,   6.98,  12.97
