 JULDAY,   TIME,    SH1,    SH2,    SH3,    SH4,    SH5,    SH6,    SH7,    SH8,    SH9,   SH10
 15.,      0.00,   1781.54,   1781.54,   1781.54,   1781.54,   1781.54,   1781.54,   1781.54,   1781.54,   1781.54,   1849.65
 15.,     60.00,   2390.90,   2390.90,   2390.90,   2390.90,   2390.90,   2390.90,   2390.90,   2390.90,   2390.90,   2262.86
 15.,    120.00,   2277.89,   2277.89,   2277.89,   2277.89,   2277.89,   2277.89,   2277.89,   2277.89,   2277.89,   2220.83
 15.,    180.00,   2228.81,   2228.81,   2228.81,   2228.81,   2228.81,   2228.81,   2228.81,   2228.81,   2228.81,   2191.46
 15.,    240.00,   2197.95,   2197.95,   2197.95,   2197.95,   2197.95,   2197.95,   2197.95,   2197.95,   2197.95,   2168.29
 15.,    300.00,   2175.52,   2175.52,   2175.52,   2175.52,   2175.52,   2175.52,   2175.52,   2175.52,   2175.52,   2150.59
 15.,    360.00,   2158.21,   2158.21,   2158.21,   2158.21,   2158.21,   2158.21,   2158.21,   2158.21,   2158.21,   2136.71
 15.,    420.00,   2144.44,   2144.44,   2144.44,   2144.44,   2144.44,   2144.44,   2144.44,   2144.44,   2144.44,   2125.46
 15.,    480.00,   2133.01,   2133.01,   2133.01,   2133.01,   2133.01,   2133.01,   2133.01,   2133.01,   2133.01,   2116.06
 15.,    540.00,   2122.75,   2122.75,   2122.75,   2122.75,   2122.75,   2122.75,   2122.75,   2122.75,   2122.75,   2108.00
 15.,    600.00,   2112.87,   2112.87,   2112.87,   2112.87,   2112.87,   2112.87,   2112.87,   2112.87,   2112.87,   2100.85
 15.,    660.00,   2102.70,   2102.70,   2102.70,   2102.70,   2102.70,   2102.70,   2102.70,   2102.70,   2102.70,   2094.27
 15.,    720.00,   2084.26,   2084.26,   2084.26,   2084.26,   2084.26,   2084.26,   2084.26,   2084.26,   2084.26,   2087.37
 15.,    780.00,   2069.65,   2069.65,   2069.65,   2069.65,   2069.65,   2069.65,   2069.65,   2069.65,   2069.65,   2079.99
 15.,    840.00,   2054.25,   2054.25,   2054.25,   2054.25,   2054.25,   2054.25,   2054.25,   2054.25,   2054.25,   2072.57
 15.,    900.00,   2042.97,   2042.97,   2042.97,   2042.97,   2042.97,   2042.97,   2042.97,   2042.97,   2042.97,   2065.38
 15.,    960.00,   2033.22,   2033.22,   2033.22,   2033.22,   2033.22,   2033.22,   2033.22,   2033.22,   2033.22,   2058.70
 15.,   1020.00,   2024.80,   2024.80,   2024.80,   2024.80,   2024.80,   2024.80,   2024.80,   2024.80,   2024.80,   2052.56
 15.,   1080.00,   2019.94,   2019.94,   2019.94,   2019.94,   2019.94,   2019.94,   2019.94,   2019.94,   2019.94,   2047.06
 15.,   1140.00,   2015.57,   2015.57,   2015.57,   2015.57,   2015.57,   2015.57,   2015.57,   2015.57,   2015.57,   2042.23
 15.,   1200.00,   2012.82,   2012.82,   2012.82,   2012.82,   2012.82,   2012.82,   2012.82,   2012.82,   2012.82,   2038.03
 15.,   1260.00,   2009.96,   2009.96,   2009.96,   2009.96,   2009.96,   2009.96,   2009.96,   2009.96,   2009.96,   2034.36
 15.,   1320.00,   2008.28,   2008.28,   2008.28,   2008.28,   2008.28,   2008.28,   2008.28,   2008.28,   2008.28,   2031.17
 15.,   1380.00,   2006.51,   2006.51,   2006.51,   2006.51,   2006.51,   2006.51,   2006.51,   2006.51,   2006.51,   2028.39
 46.,      0.00,   2004.73,   2004.73,   2004.73,   2004.73,   2004.73,   2004.73,   2004.73,   2004.73,   2004.73,   2023.92
 46.,     60.00,   2440.28,   2440.28,   2440.28,   2440.28,   2440.28,   2440.28,   2440.28,   2440.28,   2440.28,   2375.16
 46.,    120.00,   2344.86,   2344.86,   2344.86,   2344.86,   2344.86,   2344.86,   2344.86,   2344.86,   2344.86,   2321.56
 46.,    180.00,   2301.74,   2301.74,   2301.74,   2301.74,   2301.74,   2301.74,   2301.74,   2301.74,   2301.74,   2288.46
 46.,    240.00,   2274.62,   2274.62,   2274.62,   2274.62,   2274.62,   2274.62,   2274.62,   2274.62,   2274.62,   2266.03
 46.,    300.00,   2255.37,   2255.37,   2255.37,   2255.37,   2255.37,   2255.37,   2255.37,   2255.37,   2255.37,   2249.39
 46.,    360.00,   2240.97,   2240.97,   2240.97,   2240.97,   2240.97,   2240.97,   2240.97,   2240.97,   2240.97,   2236.40
 46.,    420.00,   2229.47,   2229.47,   2229.47,   2229.47,   2229.47,   2229.47,   2229.47,   2229.47,   2229.47,   2225.91
 46.,    480.00,   2219.04,   2219.04,   2219.04,   2219.04,   2219.04,   2219.04,   2219.04,   2219.04,   2219.04,   2217.01
 46.,    540.00,   2209.34,   2209.34,   2209.34,   2209.34,   2209.34,   2209.34,   2209.34,   2209.34,   2209.34,   2209.12
 46.,    600.00,   2199.75,   2199.75,   2199.75,   2199.75,   2199.75,   2199.75,   2199.75,   2199.75,   2199.75,   2201.85
 46.,    660.00,   2190.57,   2190.57,   2190.57,   2190.57,   2190.57,   2190.57,   2190.57,   2190.57,   2190.57,   2195.00
 46.,    720.00,   2172.16,   2172.16,   2172.16,   2172.16,   2172.16,   2172.16,   2172.16,   2172.16,   2172.16,   2187.15
 46.,    780.00,   2160.20,   2160.20,   2160.20,   2160.20,   2160.20,   2160.20,   2160.20,   2160.20,   2160.20,   2178.88
 46.,    840.00,   2148.25,   2148.25,   2148.25,   2148.25,   2148.25,   2148.25,   2148.25,   2148.25,   2148.25,   2170.94
 46.,    900.00,   2138.18,   2138.18,   2138.18,   2138.18,   2138.18,   2138.18,   2138.18,   2138.18,   2138.18,   2163.43
 46.,    960.00,   2129.67,   2129.67,   2129.67,   2129.67,   2129.67,   2129.67,   2129.67,   2129.67,   2129.67,   2156.47
 46.,   1020.00,   2122.76,   2122.76,   2122.76,   2122.76,   2122.76,   2122.76,   2122.76,   2122.76,   2122.76,   2150.15
 46.,   1080.00,   2117.47,   2117.47,   2117.47,   2117.47,   2117.47,   2117.47,   2117.47,   2117.47,   2117.47,   2144.50
 46.,   1140.00,   2114.96,   2114.96,   2114.96,   2114.96,   2114.96,   2114.96,   2114.96,   2114.96,   2114.96,   2139.66
 46.,   1200.00,   2111.63,   2111.63,   2111.63,   2111.63,   2111.63,   2111.63,   2111.63,   2111.63,   2111.63,   2135.50
 46.,   1260.00,   2110.22,   2110.22,   2110.22,   2110.22,   2110.22,   2110.22,   2110.22,   2110.22,   2110.22,   2131.92
 46.,   1320.00,   2107.65,   2107.65,   2107.65,   2107.65,   2107.65,   2107.65,   2107.65,   2107.65,   2107.65,   2128.77
 46.,   1380.00,   2106.90,   2106.90,   2106.90,   2106.90,   2106.90,   2106.90,   2106.90,   2106.90,   2106.90,   2126.02
 74.,      0.00,   2104.78,   2104.78,   2104.78,   2104.78,   2104.78,   2104.78,   2104.78,   2104.78,   2104.78,   2121.49
 74.,     60.00,   2427.87,   2427.87,   2427.87,   2427.87,   2427.87,   2427.87,   2427.87,   2427.87,   2427.87,   2383.87
 74.,    120.00,   2351.98,   2351.98,   2351.98,   2351.98,   2351.98,   2351.98,   2351.98,   2351.98,   2351.98,   2339.63
 74.,    180.00,   2317.00,   2317.00,   2317.00,   2317.00,   2317.00,   2317.00,   2317.00,   2317.00,   2317.00,   2312.55
 74.,    240.00,   2295.09,   2295.09,   2295.09,   2295.09,   2295.09,   2295.09,   2295.09,   2295.09,   2295.09,   2294.03
 74.,    300.00,   2279.62,   2279.62,   2279.62,   2279.62,   2279.62,   2279.62,   2279.62,   2279.62,   2279.62,   2280.26
