 JULDAY,   TIME,  TRANS,LEAFPOT, RTPOT1, RTPOT2, RTPOT3, RTPOT4, RTPOT5, RTPOT6, RTPOT7, RTPOT8, RTPOT9,RTPOT10
 15.,      0.00,      3.23,    -29.66,     -5.93,     -9.08,    -55.22,    -42.59,    -25.62,    -16.19,    -11.59,    -10.35,    -10.21,      0.00
 15.,     60.00,      1.99,    -26.34,     -8.61,    -10.54,    -38.45,    -42.81,    -26.38,    -16.56,    -11.72,    -10.36,    -10.21,      0.00
 15.,    120.00,      1.40,    -24.53,    -10.24,    -11.73,    -28.76,    -42.55,    -26.69,    -16.84,    -11.83,    -10.37,    -10.21,      0.00
 15.,    180.00,      0.99,    -23.30,    -11.45,    -12.79,    -24.42,    -41.85,    -26.77,    -17.06,    -11.93,    -10.38,    -10.22,      0.00
 15.,    240.00,      0.67,    -22.37,    -12.45,    -13.68,    -22.49,    -40.72,    -26.74,    -17.23,    -12.03,    -10.39,    -10.22,      0.00
 15.,    300.00,      0.41,    -21.64,    -13.29,    -14.43,    -21.62,    -39.24,    -26.64,    -17.36,    -12.12,    -10.41,    -10.22,      0.00
 15.,    360.00,      0.18,    -21.05,    -14.01,    -15.08,    -21.22,    -37.54,    -26.51,    -17.47,    -12.20,    -10.42,    -10.22,      0.00
 15.,    420.00,      0.07,    -20.63,    -14.64,    -15.65,    -21.05,    -35.78,    -26.36,    -17.56,    -12.27,    -10.43,    -10.22,      0.00
 15.,    480.00,      0.21,    -20.50,    -15.24,    -16.15,    -20.97,    -34.05,    -26.19,    -17.63,    -12.34,    -10.44,    -10.22,      0.00
 15.,    540.00,      0.61,    -20.65,    -15.84,    -16.62,    -20.94,    -32.46,    -26.00,    -17.70,    -12.41,    -10.46,    -10.22,      0.00
 15.,    600.00,      1.28,    -21.09,    -16.50,    -17.07,    -20.95,    -31.05,    -25.80,    -17.76,    -12.47,    -10.47,    -10.22,      0.00
 15.,    660.00,      4.93,    -24.29,    -17.77,    -17.56,    -20.99,    -29.83,    -25.60,    -17.83,    -12.55,    -10.49,    -10.22,      0.00
 15.,    720.00,      5.24,    -24.49,    -18.86,    -18.09,    -21.06,    -28.77,    -25.37,    -17.88,    -12.61,    -10.50,    -10.22,      0.00
 15.,    780.00,      6.37,    -25.47,    -20.10,    -18.65,    -21.15,    -27.87,    -25.12,    -17.92,    -12.67,    -10.51,    -10.22,      0.00
 15.,    840.00,      5.83,    -24.95,    -21.07,    -19.21,    -21.28,    -27.09,    -24.86,    -17.95,    -12.72,    -10.53,    -10.22,      0.00
 15.,    900.00,      5.63,    -24.75,    -21.96,    -19.75,    -21.42,    -26.44,    -24.59,    -17.98,    -12.76,    -10.54,    -10.22,      0.00
 15.,    960.00,      5.38,    -24.53,    -22.76,    -20.26,    -21.58,    -25.88,    -24.32,    -18.00,    -12.81,    -10.55,    -10.22,      0.00
 15.,   1020.00,      4.33,    -23.57,    -23.25,    -20.73,    -21.74,    -25.40,    -24.05,    -18.02,    -12.85,    -10.56,    -10.22,      0.00
 15.,   1080.00,      3.98,    -23.26,    -23.69,    -21.15,    -21.90,    -25.00,    -23.79,    -18.03,    -12.89,    -10.57,    -10.22,      0.00
 15.,   1140.00,      3.33,    -22.67,    -23.97,    -21.53,    -22.05,    -24.65,    -23.54,    -18.04,    -12.93,    -10.58,    -10.22,      0.00
 15.,   1200.00,      3.15,    -22.51,    -24.27,    -21.87,    -22.20,    -24.36,    -23.30,    -18.04,    -12.98,    -10.59,    -10.23,      0.00
 15.,   1260.00,      2.64,    -22.05,    -24.45,    -22.16,    -22.33,    -24.10,    -23.07,    -18.04,    -13.01,    -10.60,    -10.23,      0.00
 15.,   1320.00,      2.48,    -21.91,    -24.64,    -22.43,    -22.46,    -23.88,    -22.86,    -18.04,    -13.05,    -10.61,    -10.23,      0.00
 15.,   1380.00,      2.06,    -21.52,    -24.73,    -22.66,    -22.57,    -23.68,    -22.65,    -18.04,    -13.09,    -10.63,    -10.23,      0.00
 46.,      0.00,      4.17,    -19.48,     -5.08,     -6.23,    -16.51,    -23.31,    -22.29,    -18.04,    -13.17,    -10.65,    -10.23,      0.00
 46.,     60.00,      2.44,    -17.16,     -6.88,     -7.43,    -11.83,    -22.47,    -22.10,    -18.01,    -13.20,    -10.66,    -10.23,      0.00
 46.,    120.00,      1.69,    -16.11,     -7.94,     -8.31,    -11.10,    -20.78,    -21.88,    -17.99,    -13.23,    -10.67,    -10.23,      0.00
 46.,    180.00,      1.16,    -15.39,     -8.71,     -8.98,    -11.10,    -18.97,    -21.59,    -17.97,    -13.25,    -10.68,    -10.23,      0.00
 46.,    240.00,      0.76,    -14.85,     -9.32,     -9.52,    -11.24,    -17.56,    -21.18,    -17.95,    -13.28,    -10.69,    -10.23,      0.00
 46.,    300.00,      0.33,    -14.34,     -9.80,     -9.97,    -11.43,    -16.58,    -20.67,    -17.92,    -13.31,    -10.70,    -10.23,      0.00
 46.,    360.00,      0.08,    -14.03,    -10.22,    -10.35,    -11.62,    -15.93,    -20.10,    -17.89,    -13.34,    -10.71,    -10.23,      0.00
 46.,    420.00,      0.37,    -14.23,    -10.61,    -10.68,    -11.80,    -15.49,    -19.53,    -17.84,    -13.37,    -10.72,    -10.23,      0.00
 46.,    480.00,      0.80,    -14.57,    -10.99,    -11.00,    -11.98,    -15.18,    -18.98,    -17.79,    -13.40,    -10.74,    -10.23,      0.00
 46.,    540.00,      1.48,    -15.16,    -11.38,    -11.29,    -12.15,    -14.96,    -18.49,    -17.73,    -13.43,    -10.75,    -10.24,      0.00
 46.,    600.00,      2.06,    -15.68,    -11.77,    -11.58,    -12.32,    -14.81,    -18.05,    -17.65,    -13.46,    -10.76,    -10.24,      0.00
 46.,    660.00,      6.68,    -19.91,    -12.61,    -11.93,    -12.50,    -14.71,    -17.68,    -17.58,    -13.51,    -10.78,    -10.24,      0.00
 46.,    720.00,      6.37,    -19.66,    -13.19,    -12.30,    -12.69,    -14.64,    -17.34,    -17.48,    -13.53,    -10.79,    -10.24,      0.00
 46.,    780.00,      7.07,    -20.34,    -13.80,    -12.67,    -12.90,    -14.60,    -17.06,    -17.38,    -13.56,    -10.81,    -10.24,      0.00
 46.,    840.00,      7.04,    -20.36,    -14.35,    -13.04,    -13.11,    -14.59,    -16.81,    -17.26,    -13.59,    -10.82,    -10.24,      0.00
 46.,    900.00,      6.81,    -20.21,    -14.83,    -13.39,    -13.33,    -14.59,    -16.60,    -17.15,    -13.61,    -10.83,    -10.24,      0.00
 46.,    960.00,      6.36,    -19.87,    -15.24,    -13.71,    -13.54,    -14.62,    -16.42,    -17.03,    -13.62,    -10.84,    -10.24,      0.00
 46.,   1020.00,      5.75,    -19.37,    -15.56,    -14.01,    -13.75,    -14.66,    -16.27,    -16.90,    -13.64,    -10.85,    -10.24,      0.00
 46.,   1080.00,      4.55,    -18.34,    -15.71,    -14.27,    -13.95,    -14.70,    -16.13,    -16.78,    -13.65,    -10.86,    -10.24,      0.00
 46.,   1140.00,      4.40,    -18.26,    -15.92,    -14.51,    -14.13,    -14.75,    -16.03,    -16.67,    -13.67,    -10.87,    -10.24,      0.00
 46.,   1200.00,      3.51,    -17.50,    -16.01,    -14.71,    -14.30,    -14.81,    -15.93,    -16.56,    -13.68,    -10.88,    -10.24,      0.00
 46.,   1260.00,      3.54,    -17.58,    -16.17,    -14.89,    -14.46,    -14.86,    -15.86,    -16.45,    -13.69,    -10.89,    -10.25,      0.00
 46.,   1320.00,      2.76,    -16.90,    -16.22,    -15.05,    -14.61,    -14.92,    -15.79,    -16.35,    -13.70,    -10.90,    -10.25,      0.00
 46.,   1380.00,      2.81,    -17.00,    -16.34,    -15.19,    -14.74,    -14.98,    -15.74,    -16.26,    -13.71,    -10.91,    -10.25,      0.00
 74.,      0.00,      4.65,    -16.43,     -5.28,     -6.06,    -10.95,    -14.97,    -15.66,    -16.10,    -13.75,    -10.94,    -10.25,      0.00
 74.,     60.00,      2.70,    -14.34,     -6.72,     -7.00,     -9.19,    -14.15,    -15.59,    -16.01,    -13.74,    -10.94,    -10.25,      0.00
 74.,    120.00,      1.85,    -13.42,     -7.54,     -7.66,     -9.05,    -13.08,    -15.41,    -15.93,    -13.74,    -10.95,    -10.25,      0.00
 74.,    180.00,      1.24,    -12.80,     -8.12,     -8.15,     -9.17,    -12.32,    -15.09,    -15.85,    -13.75,    -10.96,    -10.25,      0.00
 74.,    240.00,      0.77,    -12.33,     -8.56,     -8.54,     -9.34,    -11.86,    -14.70,    -15.77,    -13.75,    -10.97,    -10.25,      0.00
 74.,    300.00,      0.36,    -11.94,     -8.92,     -8.87,     -9.52,    -11.60,    -14.31,    -15.67,    -13.75,    -10.98,    -10.25,      0.00
 74.,    360.00,      0.25,    -11.83,     -9.22,     -9.15,     -9.69,    -11.45,    -13.96,    -15.56,    -13.75,    -10.99,    -10.26,      0.00
 74.,    420.00,      0.54,    -12.10,     -9.51,     -9.39,     -9.85,    -11.38,    -13.66,    -15.43,    -13.76,    -11.00,    -10.26,      0.00
 74.,    480.00,      1.24,    -12.75,     -9.81,     -9.63,    -10.00,    -11.34,    -13.42,    -15.30,    -13.76,    -11.02,    -10.26,      0.00
 74.,    540.00,      2.06,    -13.52,    -10.12,     -9.86,    -10.15,    -11.33,    -13.22,    -15.15,    -13.77,    -11.03,    -10.26,      0.00
 74.,    600.00,      2.97,    -14.38,    -10.45,    -10.09,    -10.30,    -11.34,    -13.06,    -15.01,    -13.77,    -11.04,    -10.26,      0.00
 74.,    660.00,      7.96,    -18.99,    -11.17,    -10.38,    -10.47,    -11.37,    -12.94,    -14.88,    -13.80,    -11.06,    -10.26,      0.00
 74.,    720.00,      7.70,    -18.82,    -11.65,    -10.70,    -10.65,    -11.42,    -12.84,    -14.73,    -13.79,    -11.07,    -10.26,      0.00
 74.,    780.00,      8.38,    -19.51,    -12.16,    -11.02,    -10.84,    -11.48,    -12.76,    -14.59,    -13.79,    -11.09,    -10.26,      0.00
 74.,    840.00,      8.25,    -19.48,    -12.60,    -11.33,    -11.04,    -11.55,    -12.70,    -14.46,    -13.78,    -11.10,    -10.26,      0.00
 74.,    900.00,      7.92,    -19.26,    -12.98,    -11.62,    -11.24,    -11.63,    -12.66,    -14.34,    -13.77,    -11.11,    -10.27,      0.00
 74.,    960.00,      7.37,    -18.84,    -13.30,    -11.89,    -11.44,    -11.72,    -12.63,    -14.22,    -13.76,    -11.11,    -10.27,      0.00
 74.,   1020.00,      6.62,    -18.24,    -13.54,    -12.13,    -11.63,    -11.81,    -12.62,    -14.11,    -13.74,    -11.12,    -10.27,      0.00
 74.,   1080.00,      5.44,    -17.23,    -13.66,    -12.35,    -11.81,    -11.90,    -12.61,    -14.01,    -13.72,    -11.13,    -10.27,      0.00
 74.,   1140.00,      4.80,    -16.73,    -13.77,    -12.53,    -11.97,    -12.00,    -12.62,    -13.93,    -13.71,    -11.14,    -10.27,      0.00
 74.,   1200.00,      4.12,    -16.16,    -13.84,    -12.68,    -12.12,    -12.09,    -12.63,    -13.85,    -13.69,    -11.15,    -10.27,      0.00
 74.,   1260.00,      3.80,    -15.93,    -13.93,    -12.82,    -12.26,    -12.18,    -12.65,    -13.78,    -13.67,    -11.16,    -10.27,      0.00
 74.,   1320.00,      3.25,    -15.48,    -13.97,    -12.94,    -12.39,    -12.27,    -12.68,    -13.71,    -13.65,    -11.17,    -10.27,      0.00
 74.,   1380.00,      3.00,    -15.31,    -14.03,    -13.05,    -12.50,    -12.36,    -12.70,    -13.66,    -13.63,    -11.18,    -10.27,      0.00
105.,      0.00,      5.22,    -15.20,     -4.47,     -4.91,     -8.17,    -12.26,    -12.76,    -13.57,    -13.60,    -11.20,    -10.28,      0.00
105.,     60.00,      2.76,    -12.68,     -5.77,     -5.86,     -7.18,    -11.01,    -12.68,    -13.53,    -13.57,    -11.21,    -10.28,      0.00
105.,    120.00,      1.74,    -11.65,     -6.50,     -6.48,     -7.29,     -9.97,    -12.38,    -13.48,    -13.54,    -11.21,    -10.28,      0.00
105.,    180.00,      1.04,    -10.97,     -7.00,     -6.93,     -7.50,     -9.46,    -11.93,    -13.42,    -13.52,    -11.22,    -10.28,      0.00
105.,    240.00,      0.44,    -10.41,     -7.38,     -7.28,     -7.71,     -9.23,    -11.50,    -13.33,    -13.49,    -11.23,    -10.28,      0.00
105.,    300.00,      0.24,    -10.23,     -7.69,     -7.57,     -7.90,     -9.14,    -11.15,    -13.21,    -13.47,    -11.24,    -10.28,      0.00
105.,    360.00,      0.57,    -10.55,     -7.98,     -7.82,     -8.08,     -9.12,    -10.89,    -13.06,    -13.45,    -11.25,    -10.29,      0.00
105.,    420.00,      1.18,    -11.13,     -8.26,     -8.05,     -8.25,     -9.13,    -10.69,    -12.90,    -13.43,    -11.26,    -10.29,      0.00
105.,    480.00,      1.90,    -11.82,     -8.54,     -8.27,     -8.41,     -9.17,    -10.55,    -12.74,    -13.41,    -11.27,    -10.29,      0.00
105.,    540.00,      2.55,    -12.45,     -8.81,     -8.48,     -8.56,     -9.22,    -10.45,    -12.57,    -13.39,    -11.28,    -10.29,      0.00
105.,    600.00,      4.93,    -14.68,     -9.18,     -8.72,     -8.72,     -9.28,    -10.39,    -12.42,    -13.37,    -11.29,    -10.29,      0.00
105.,    660.00,      8.06,    -17.60,     -9.69,     -8.99,     -8.89,     -9.35,    -10.34,    -12.28,    -13.36,    -11.31,    -10.29,      0.00
105.,    720.00,      9.64,    -19.13,    -10.20,     -9.28,     -9.08,     -9.43,    -10.32,    -12.15,    -13.33,    -11.32,    -10.29,      0.00
105.,    780.00,      9.93,    -19.48,    -10.64,     -9.58,     -9.27,     -9.53,    -10.31,    -12.04,    -13.30,    -11.33,    -10.30,      0.00
105.,    840.00,      9.02,    -18.74,    -10.97,     -9.86,     -9.47,     -9.63,    -10.32,    -11.93,    -13.26,    -11.33,    -10.30,      0.00
105.,    900.00,      8.47,    -18.33,    -11.25,    -10.11,     -9.66,     -9.74,    -10.34,    -11.84,    -13.22,    -11.34,    -10.30,      0.00
105.,    960.00,      7.83,    -17.83,    -11.49,    -10.34,     -9.85,     -9.85,    -10.37,    -11.77,    -13.18,    -11.35,    -10.30,      0.00
105.,   1020.00,      7.07,    -17.22,    -11.68,    -10.54,    -10.02,     -9.96,    -10.40,    -11.70,    -13.14,    -11.35,    -10.30,      0.00
105.,   1080.00,      6.21,    -16.51,    -11.82,    -10.72,    -10.18,    -10.07,    -10.45,    -11.65,    -13.09,    -11.36,    -10.30,      0.00
105.,   1140.00,      5.05,    -15.53,    -11.89,    -10.88,    -10.33,    -10.17,    -10.50,    -11.60,    -13.04,    -11.37,    -10.30,      0.00
105.,   1200.00,      4.50,    -15.09,    -11.96,    -11.01,    -10.47,    -10.28,    -10.55,    -11.56,    -13.00,    -11.37,    -10.31,      0.00
105.,   1260.00,      3.84,    -14.55,    -12.01,    -11.12,    -10.59,    -10.38,    -10.60,    -11.53,    -12.95,    -11.38,    -10.31,      0.00
105.,   1320.00,      3.52,    -14.31,    -12.07,    -11.22,    -10.71,    -10.47,    -10.65,    -11.51,    -12.91,    -11.38,    -10.31,      0.00
105.,   1380.00,      3.00,    -13.88,    -12.10,    -11.31,    -10.81,    -10.56,    -10.71,    -11.49,    -12.86,    -11.39,    -10.31,      0.00
135.,      0.00,      6.04,    -15.09,     -4.85,     -5.23,     -7.74,    -10.48,    -10.81,    -11.48,    -12.79,    -11.41,    -10.31,      0.00
135.,     60.00,      2.88,    -12.05,     -5.99,     -6.03,     -7.07,     -9.59,    -10.74,    -11.46,    -12.74,    -11.41,    -10.32,      0.00
135.,    120.00,      1.64,    -10.88,     -6.62,     -6.55,     -7.16,     -8.95,    -10.50,    -11.45,    -12.69,    -11.41,    -10.32,      0.00
135.,    180.00,      0.57,     -9.89,     -7.04,     -6.93,     -7.33,     -8.64,    -10.20,    -11.41,    -12.65,    -11.42,    -10.32,      0.00
135.,    240.00,      0.23,     -9.59,     -7.36,     -7.22,     -7.50,     -8.52,     -9.93,    -11.34,    -12.61,    -11.42,    -10.32,      0.00
135.,    300.00,      0.62,     -9.97,     -7.65,     -7.47,     -7.66,     -8.48,     -9.73,    -11.25,    -12.57,    -11.43,    -10.32,      0.00
135.,    360.00,      1.00,    -10.35,     -7.90,     -7.69,     -7.82,     -8.48,     -9.59,    -11.14,    -12.54,    -11.43,    -10.32,      0.00
135.,    420.00,      1.80,    -11.12,     -8.16,     -7.89,     -7.96,     -8.51,     -9.49,    -11.03,    -12.50,    -11.44,    -10.33,      0.00
135.,    480.00,      2.71,    -11.99,     -8.43,     -8.09,     -8.11,     -8.56,     -9.42,    -10.92,    -12.47,    -11.45,    -10.33,      0.00
135.,    540.00,      4.08,    -13.29,     -8.72,     -8.30,     -8.25,     -8.62,     -9.38,    -10.82,    -12.44,    -11.46,    -10.33,      0.00
135.,    600.00,      5.69,    -14.83,     -9.06,     -8.52,     -8.40,     -8.69,     -9.36,    -10.73,    -12.40,    -11.46,    -10.33,      0.00
135.,    660.00,      9.72,    -18.58,     -9.60,     -8.78,     -8.56,     -8.76,     -9.36,    -10.66,    -12.38,    -11.48,    -10.33,      0.00
135.,    720.00,      9.93,    -18.86,    -10.02,     -9.06,     -8.73,     -8.85,     -9.37,    -10.59,    -12.34,    -11.48,    -10.33,      0.00
135.,    780.00,     10.45,    -19.42,    -10.43,     -9.33,     -8.92,     -8.95,     -9.39,    -10.53,    -12.30,    -11.49,    -10.34,      0.00
135.,    840.00,      9.80,    -18.92,    -10.75,     -9.58,     -9.10,     -9.05,     -9.43,    -10.48,    -12.25,    -11.49,    -10.34,      0.00
135.,    900.00,      9.14,    -18.41,    -11.01,     -9.82,     -9.28,     -9.16,     -9.47,    -10.44,    -12.20,    -11.50,    -10.34,      0.00
135.,    960.00,      8.45,    -17.87,    -11.23,    -10.03,     -9.46,     -9.27,     -9.52,    -10.41,    -12.16,    -11.50,    -10.34,      0.00
135.,   1020.00,      7.67,    -17.24,    -11.40,    -10.22,     -9.62,     -9.38,     -9.57,    -10.39,    -12.11,    -11.50,    -10.34,      0.00
135.,   1080.00,      6.81,    -16.53,    -11.53,    -10.39,     -9.77,     -9.49,     -9.63,    -10.37,    -12.06,    -11.50,    -10.35,      0.00
135.,   1140.00,      5.85,    -15.73,    -11.61,    -10.53,     -9.91,     -9.59,     -9.69,    -10.36,    -12.01,    -11.50,    -10.35,      0.00
135.,   1200.00,      4.83,    -14.86,    -11.64,    -10.65,    -10.04,     -9.69,     -9.75,    -10.36,    -11.96,    -11.50,    -10.35,      0.00
135.,   1260.00,      4.34,    -14.48,    -11.68,    -10.75,    -10.15,     -9.79,     -9.81,    -10.36,    -11.92,    -11.50,    -10.35,      0.00
135.,   1320.00,      3.69,    -13.94,    -11.70,    -10.84,    -10.26,     -9.88,     -9.87,    -10.36,    -11.88,    -11.51,    -10.35,      0.00
135.,   1380.00,      3.38,    -13.70,    -11.73,    -10.91,    -10.35,     -9.97,     -9.93,    -10.37,    -11.83,    -11.51,    -10.35,      0.00
166.,      0.00,      6.62,    -15.42,     -5.46,     -5.90,     -8.19,     -9.95,    -10.04,    -10.40,    -11.77,    -11.52,    -10.36,      0.00
166.,     60.00,      2.97,    -11.99,     -6.53,     -6.57,     -7.55,     -9.39,    -10.02,    -10.41,    -11.72,    -11.51,    -10.36,      0.00
166.,    120.00,      1.61,    -10.74,     -7.10,     -7.02,     -7.57,     -8.93,     -9.88,    -10.42,    -11.69,    -11.51,    -10.36,      0.00
166.,    180.00,      0.57,     -9.80,     -7.47,     -7.34,     -7.69,     -8.70,     -9.69,    -10.41,    -11.65,    -11.51,    -10.36,      0.00
166.,    240.00,      0.32,     -9.59,     -7.75,     -7.59,     -7.82,     -8.59,     -9.53,    -10.38,    -11.62,    -11.51,    -10.37,      0.00
166.,    300.00,      0.70,     -9.97,     -8.01,     -7.80,     -7.95,     -8.56,     -9.40,    -10.33,    -11.59,    -11.51,    -10.37,      0.00
166.,    360.00,      1.26,    -10.50,     -8.25,     -8.00,     -8.07,     -8.56,     -9.31,    -10.28,    -11.57,    -11.51,    -10.37,      0.00
166.,    420.00,      2.12,    -11.33,     -8.49,     -8.18,     -8.19,     -8.58,     -9.24,    -10.22,    -11.54,    -11.52,    -10.37,      0.00
166.,    480.00,      3.12,    -12.29,     -8.75,     -8.37,     -8.32,     -8.62,     -9.20,    -10.16,    -11.52,    -11.52,    -10.37,      0.00
166.,    540.00,      4.53,    -13.62,     -9.04,     -8.56,     -8.44,     -8.67,     -9.18,    -10.10,    -11.50,    -11.52,    -10.38,      0.00
