 JULDAY,   TIME,   DEP1,   DEP2,   DEP3,   DEP4,   DEP5,   DEP6,   DEP7,   DEP8,   DEP9,  DEP10
 15.,   0.00,   3.65,   5.44,   6.58,   6.84,   6.87,   6.79,   6.56,   6.45,   6.83       ,  12.97
 15.,  60.00,   3.33,   5.05,   6.27,   6.70,   6.80,   6.77,   6.57,   6.45,   6.84       ,  12.97
 15., 120.00,   3.20,   4.81,   6.02,   6.55,   6.73,   6.74,   6.58,   6.46,   6.85       ,  12.97
 15., 180.00,   3.13,   4.64,   5.84,   6.40,   6.64,   6.71,   6.59,   6.46,   6.86       ,  12.97
 15., 240.00,   3.07,   4.50,   5.69,   6.27,   6.56,   6.66,   6.59,   6.47,   6.87       ,  12.97
 15., 300.00,   3.02,   4.37,   5.59,   6.15,   6.48,   6.62,   6.59,   6.47,   6.88       ,  12.97
 15., 360.00,   2.90,   4.27,   5.49,   6.04,   6.40,   6.56,   6.58,   6.48,   6.89       ,  12.97
 15., 420.00,   2.77,   4.16,   5.38,   5.95,   6.33,   6.51,   6.58,   6.48,   6.90       ,  12.97
 15., 480.00,   3.92,   4.09,   5.26,   5.89,   6.24,   6.46,   6.57,   6.49,   6.90       ,  12.97
 15., 540.00,   5.93,   4.68,   5.35,   5.82,   6.16,   6.42,   6.55,   6.49,   6.91       ,  12.97
 15., 600.00,   9.80,   5.76,   5.55,   5.82,   6.13,   6.36,   6.54,   6.50,   6.92       ,  12.97
 15., 660.00,  10.98,   7.18,   5.96,   5.91,   6.12,   6.32,   6.52,   6.50,   6.93       ,  12.97
 15., 720.00,  11.72,   8.14,   6.44,   6.10,   6.15,   6.30,   6.50,   6.50,   6.94       ,  12.97
 15., 780.00,  12.14,   8.83,   6.87,   6.33,   6.23,   6.30,   6.49,   6.51,   6.95       ,  12.97
 15., 840.00,  11.50,   9.19,   7.23,   6.56,   6.33,   6.32,   6.48,   6.51,   6.96       ,  12.97
 15., 900.00,   9.59,   9.07,   7.45,   6.77,   6.45,   6.36,   6.47,   6.51,   6.97       ,  12.97
 15., 960.00,   6.80,   8.40,   7.48,   6.92,   6.56,   6.41,   6.46,   6.51,   6.97       ,  12.97
 15.,1020.00,   4.86,   7.41,   7.32,   6.97,   6.64,   6.47,   6.46,   6.52,   6.98       ,  12.97
 15.,1080.00,   4.09,   6.56,   7.05,   6.93,   6.69,   6.52,   6.47,   6.52,   6.99       ,  12.97
 15.,1140.00,   3.71,   5.97,   6.77,   6.84,   6.70,   6.56,   6.47,   6.52,   7.00       ,  12.97
 15.,1200.00,   3.46,   5.54,   6.52,   6.72,   6.68,   6.58,   6.48,   6.52,   7.01       ,  12.97
 15.,1260.00,   3.31,   5.21,   6.31,   6.59,   6.64,   6.59,   6.49,   6.53,   7.02       ,  12.97
 15.,1320.00,   3.06,   4.98,   6.12,   6.47,   6.58,   6.58,   6.50,   6.53,   7.02       ,  12.97
 15.,1380.00,   3.11,   4.76,   5.96,   6.35,   6.52,   6.56,   6.51,   6.53,   7.03       ,  12.97
 46.,   0.00,   4.64,   6.85,   8.17,   8.50,   8.50,   8.32,   7.79,   7.41,   7.66       ,  12.97
 46.,  60.00,   4.16,   6.43,   7.84,   8.30,   8.40,   8.28,   7.82,   7.42,   7.67       ,  12.97
 46., 120.00,   4.02,   6.12,   7.58,   8.10,   8.28,   8.23,   7.84,   7.43,   7.68       ,  12.97
 46., 180.00,   3.96,   5.91,   7.37,   7.91,   8.16,   8.18,   7.85,   7.44,   7.69       ,  12.97
 46., 240.00,   3.92,   5.74,   7.20,   7.74,   8.04,   8.11,   7.86,   7.45,   7.70       ,  12.97
 46., 300.00,   3.84,   5.61,   7.06,   7.59,   7.93,   8.04,   7.86,   7.46,   7.70       ,  12.97
 46., 360.00,   3.73,   5.47,   6.92,   7.45,   7.82,   7.97,   7.85,   7.47,   7.71       ,  12.97
 46., 420.00,   4.07,   5.35,   6.78,   7.34,   7.72,   7.90,   7.84,   7.48,   7.72       ,  12.97
 46., 480.00,   6.37,   5.50,   6.70,   7.24,   7.61,   7.83,   7.83,   7.48,   7.73       ,  12.97
 46., 540.00,   9.60,   6.57,   6.77,   7.17,   7.53,   7.76,   7.81,   7.49,   7.74       ,  12.97
 46., 600.00,  12.52,   7.93,   7.09,   7.20,   7.48,   7.70,   7.79,   7.50,   7.74       ,  12.97
 46., 660.00,  13.41,   9.32,   7.52,   7.35,   7.47,   7.65,   7.77,   7.51,   7.75       ,  12.97
