 JULDAY,   TIME,    PT1,    PT2,    PT3,    PT4,    PT5,    PT6,    PT7,    PT8,    PT9,   PT10
 15.,      0.00,     -7.34,    -32.53,   -223.66,    -65.10,    -25.33,    -11.10,    -10.22,    -10.21,    -10.21,     -1.10
 15.,     60.00,    -11.65,    -21.24,   -215.93,    -66.09,    -26.18,    -11.73,    -10.24,    -10.22,    -10.21,     -1.10
 15.,    120.00,    -14.54,    -23.90,   -206.72,    -66.41,    -26.34,    -12.20,    -10.26,    -10.22,    -10.21,     -1.10
 15.,    180.00,    -16.92,    -26.77,   -195.03,    -66.17,    -26.19,    -12.57,    -10.29,    -10.23,    -10.21,     -1.10
 15.,    240.00,    -19.01,    -28.94,   -181.09,    -65.50,    -25.92,    -12.87,    -10.33,    -10.23,    -10.21,     -1.10
 15.,    300.00,    -20.90,    -30.46,   -166.04,    -64.51,    -25.64,    -13.12,    -10.38,    -10.24,    -10.21,     -1.10
 15.,    360.00,    -22.60,    -31.53,   -151.19,    -63.27,    -25.37,    -13.35,    -10.42,    -10.24,    -10.21,     -1.10
 15.,    420.00,    -24.12,    -32.37,   -137.44,    -61.87,    -25.13,    -13.56,    -10.48,    -10.24,    -10.21,     -1.10
 15.,    480.00,    -25.49,    -33.11,   -125.23,    -60.36,    -24.93,    -13.74,    -10.53,    -10.25,    -10.21,     -1.10
 15.,    540.00,    -27.10,    -33.83,   -114.66,    -58.82,    -24.75,    -13.91,    -10.59,    -10.25,    -10.21,     -1.10
 15.,    600.00,    -30.44,    -34.63,   -105.66,    -57.28,    -24.62,    -14.07,    -10.64,    -10.26,    -10.21,     -1.10
 15.,    660.00,    -36.56,    -35.65,    -98.07,    -55.79,    -24.51,    -14.23,    -10.70,    -10.26,    -10.21,     -1.10
 15.,    720.00,    -45.73,    -36.96,    -91.70,    -54.35,    -24.42,    -14.37,    -10.76,    -10.26,    -10.21,     -1.10
 15.,    780.00,    -56.17,    -38.46,    -86.35,    -52.98,    -24.35,    -14.51,    -10.82,    -10.27,    -10.21,     -1.10
 15.,    840.00,    -66.65,    -40.07,    -81.86,    -51.66,    -24.29,    -14.64,    -10.88,    -10.27,    -10.21,     -1.10
