 JULDAY,   TIME,    SH1,    SH2,    SH3,    SH4,    SH5,    SH6,    SH7,    SH8,    SH9,   SH10
 15.,      0.00,   1393.07,   1393.07,   1393.07,   1393.07,   1393.07,   1393.07,   1393.07,   1393.07,   1393.07,   1476.73
 15.,     60.00,   2324.99,   2324.99,   2324.99,   2324.99,   2324.99,   2324.99,   2324.99,   2324.99,   2324.99,   1944.72
 15.,    120.00,   2193.44,   2193.44,   2193.44,   2193.44,   2193.44,   2193.44,   2193.44,   2193.44,   2193.44,   2041.13
 15.,    180.00,   2134.79,   2134.79,   2134.79,   2134.79,   2134.79,   2134.79,   2134.79,   2134.79,   2134.79,   2013.47
 15.,    240.00,   2096.30,   2096.30,   2096.30,   2096.30,   2096.30,   2096.30,   2096.30,   2096.30,   2096.30,   1987.67
 15.,    300.00,   2067.68,   2067.68,   2067.68,   2067.68,   2067.68,   2067.68,   2067.68,   2067.68,   2067.68,   1970.23
 15.,    360.00,   2044.95,   2044.95,   2044.95,   2044.95,   2044.95,   2044.95,   2044.95,   2044.95,   2044.95,   1959.04
 15.,    420.00,   2026.52,   2026.52,   2026.52,   2026.52,   2026.52,   2026.52,   2026.52,   2026.52,   2026.52,   1951.49
 15.,    480.00,   2011.38,   2011.38,   2011.38,   2011.38,   2011.38,   2011.38,   2011.38,   2011.38,   2011.38,   1945.77
 15.,    540.00,   1998.77,   1998.77,   1998.77,   1998.77,   1998.77,   1998.77,   1998.77,   1998.77,   1998.77,   1940.91
 15.,    600.00,   1984.88,   1984.88,   1984.88,   1984.88,   1984.88,   1984.88,   1984.88,   1984.88,   1984.88,   1936.33
 15.,    660.00,   1959.16,   1959.16,   1959.16,   1959.16,   1959.16,   1959.16,   1959.16,   1959.16,   1959.16,   1931.34
 15.,    720.00,   1919.88,   1919.88,   1919.88,   1919.88,   1919.88,   1919.88,   1919.88,   1919.88,   1919.88,   1925.16
 15.,    780.00,   1874.04,   1874.04,   1874.04,   1874.04,   1874.04,   1874.04,   1874.04,   1874.04,   1874.04,   1917.62
 15.,    840.00,   1833.87,   1833.87,   1833.87,   1833.87,   1833.87,   1833.87,   1833.87,   1833.87,   1833.87,   1909.29
 15.,    900.00,   1801.81,   1801.81,   1801.81,   1801.81,   1801.81,   1801.81,   1801.81,   1801.81,   1801.81,   1900.84
 15.,    960.00,   1780.63,   1780.63,   1780.63,   1780.63,   1780.63,   1780.63,   1780.63,   1780.63,   1780.63,   1892.75
 15.,   1020.00,   1770.72,   1770.72,   1770.72,   1770.72,   1770.72,   1770.72,   1770.72,   1770.72,   1770.72,   1885.30
 15.,   1080.00,   1768.21,   1768.21,   1768.21,   1768.21,   1768.21,   1768.21,   1768.21,   1768.21,   1768.21,   1878.59
 15.,   1140.00,   1768.28,   1768.28,   1768.28,   1768.28,   1768.28,   1768.28,   1768.28,   1768.28,   1768.28,   1872.64
 15.,   1200.00,   1769.26,   1769.26,   1769.26,   1769.26,   1769.26,   1769.26,   1769.26,   1769.26,   1769.26,   1867.39
 15.,   1260.00,   1770.82,   1770.82,   1770.82,   1770.82,   1770.82,   1770.82,   1770.82,   1770.82,   1770.82,   1862.79
 15.,   1320.00,   1772.73,   1772.73,   1772.73,   1772.73,   1772.73,   1772.73,   1772.73,   1772.73,   1772.73,   1858.76
 15.,   1380.00,   1775.44,   1775.44,   1775.44,   1775.44,   1775.44,   1775.44,   1775.44,   1775.44,   1775.44,   1855.27
 46.,      0.00,   1781.54,   1781.54,   1781.54,   1781.54,   1781.54,   1781.54,   1781.54,   1781.54,   1781.54,   1849.65
 46.,     60.00,   2398.44,   2398.44,   2398.44,   2398.44,   2398.44,   2398.44,   2398.44,   2398.44,   2398.44,   2276.25
 46.,    120.00,   2286.14,   2286.14,   2286.14,   2286.14,   2286.14,   2286.14,   2286.14,   2286.14,   2286.14,   2232.24
 46.,    180.00,   2237.52,   2237.52,   2237.52,   2237.52,   2237.52,   2237.52,   2237.52,   2237.52,   2237.52,   2201.10
 46.,    240.00,   2206.79,   2206.79,   2206.79,   2206.79,   2206.79,   2206.79,   2206.79,   2206.79,   2206.79,   2177.34
 46.,    300.00,   2184.53,   2184.53,   2184.53,   2184.53,   2184.53,   2184.53,   2184.53,   2184.53,   2184.53,   2159.55
 46.,    360.00,   2167.25,   2167.25,   2167.25,   2167.25,   2167.25,   2167.25,   2167.25,   2167.25,   2167.25,   2145.73
