 JULDAY,   TIME,   DEP1,   DEP2,   DEP3,   DEP4,   DEP5,   DEP6,   DEP7,   DEP8,   DEP9
 15.,   0.00,   3.65,   3.65,   3.65,   3.65,   3.65,   3.65,   3.65,   3.65,   3.65
 15.,  60.00,   3.33,   3.33,   3.33,   3.33,   3.33,   3.33,   3.33,   3.33,   3.33
 15., 120.00,   3.20,   3.20,   3.20,   3.20,   3.20,   3.20,   3.20,   3.20,   3.20
 15., 180.00,   3.13,   3.13,   3.13,   3.13,   3.13,   3.13,   3.13,   3.13,   3.13
 15., 240.00,   3.07,   3.07,   3.07,   3.07,   3.07,   3.07,   3.07,   3.07,   3.07
 15., 300.00,   3.02,   3.02,   3.02,   3.02,   3.02,   3.02,   3.02,   3.02,   3.02
 15., 360.00,   2.90,   2.90,   2.90,   2.90,   2.90,   2.90,   2.90,   2.90,   2.90
 15., 420.00,   2.77,   2.77,   2.77,   2.77,   2.77,   2.77,   2.77,   2.77,   2.77
 15., 480.00,   3.92,   3.92,   3.92,   3.92,   3.92,   3.92,   3.92,   3.92,   3.92
 15., 540.00,   5.93,   5.93,   5.93,   5.93,   5.93,   5.93,   5.93,   5.93,   5.93
 15., 600.00,   9.80,   9.80,   9.80,   9.80,   9.80,   9.80,   9.80,   9.80,   9.80
 15., 660.00,  10.98,  10.98,  10.98,  10.98,  10.98,  10.98,  10.98,  10.98,  10.98
 15., 720.00,  11.72,  11.72,  11.72,  11.72,  11.72,  11.72,  11.72,  11.72,  11.72
 15., 780.00,  12.14,  12.14,  12.14,  12.14,  12.14,  12.14,  12.14,  12.14,  12.14
 15., 840.00,  11.50,  11.50,  11.50,  11.50,  11.50,  11.50,  11.50,  11.50,  11.50
 15., 900.00,   9.59,   9.59,   9.59,   9.59,   9.59,   9.59,   9.59,   9.59,   9.59
 15., 960.00,   6.80,   6.80,   6.80,   6.80,   6.80,   6.80,   6.80,   6.80,   6.80
