 JULDAY,   TIME,    CD1,    CD2,    CD3,    CD4,    CD5,    CD6,    CD7,    CD8,    CD9,   CD10
 15.,      0.00,      0.12,      0.12,      0.12,      0.12,      0.12,      0.12,      0.12,      0.12,      0.12,      0.13
 15.,     60.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.20
 15.,    120.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.21
 15.,    180.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.21
 15.,    240.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.21
 15.,    300.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.20
 15.,    360.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.20
 15.,    420.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.20
 15.,    480.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.20
 15.,    540.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.20
 15.,    600.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.20
 15.,    660.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.20
 15.,    720.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.20
 15.,    780.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20
 15.,    840.00,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.20
 15.,    900.00,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.20
 15.,    960.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.20
 15.,   1020.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.20
 15.,   1080.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.19
 15.,   1140.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.19
 15.,   1200.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.19
 15.,   1260.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.19
 15.,   1320.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.19
 15.,   1380.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.19
 46.,      0.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.19
 46.,     60.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.24
 46.,    120.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24
 46.,    180.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23
 46.,    240.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23
 46.,    300.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23
 46.,    360.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23
 46.,    420.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23
 46.,    480.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22
 46.,    540.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22
 46.,    600.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23
 46.,    660.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23
 46.,    720.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23
 46.,    780.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22
 46.,    840.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.22
 46.,    900.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.22
 46.,    960.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.22
 46.,   1020.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.22
 46.,   1080.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.21
 46.,   1140.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.21
 46.,   1200.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.21
